1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
469	0.039991	310.200000	0.885021	0.009111	74.6
470	0.037544	309.400000	0.887163	0.010207	71.3
471	0.039442	310.400000	0.884486	0.013564	78.0
472	0.038091	311.400000	0.881826	0.011555	74.7
473	0.039094	312.400000	0.879181	0.010481	74.5
474	0.041185	313.400000	0.876551	0.013796	75.9
475	0.038392	314.400000	0.873938	0.009911	78.9
476	0.038899	315.400000	0.871340	0.010910	76.3
477	0.038918	316.400000	0.868758	0.015500	77.2
478	0.039232	317.400000	0.866190	0.011813	76.6
479	0.041867	318.400000	0.863638	0.011859	74.7
480	0.040503	319.400000	0.861101	0.011657	76.8
481	0.039081	320.400000	0.858579	0.014982	76.0
482	0.040349	321.400000	0.856071	0.012051	78.5
483	0.039935	322.400000	0.853578	0.008996	75.4
484	0.040926	321.600000	0.855572	0.027061	76.1
485	0.040185	322.600000	0.853082	0.011467	74.1
486	0.039737	323.600000	0.850606	0.008108	77.8
487	0.040039	322.800000	0.852585	0.008508	75.2
488	0.039480	322.000000	0.854574	0.009170	72.5
489	0.040268	321.200000	0.856572	0.015174	76.6
490	0.040479	322.200000	0.854076	0.011546	72.9
491	0.039320	323.200000	0.851594	0.007584	76.8
492	0.040114	322.400000	0.853578	0.027555	73.3
493	0.037809	323.400000	0.851100	0.011461	75.2
494	0.039030	324.400000	0.848636	0.007847	73.4
495	0.038785	323.600000	0.850606	0.007487	73.0
496	0.037039	322.800000	0.852585	0.008287	72.8
497	0.039290	322.000000	0.854574	0.014708	74.3
498	0.037577	323.000000	0.852090	0.012239	76.5
499	0.039364	324.000000	0.849620	0.005151	72.9
500	0.038528	323.200000	0.851594	0.010628	71.0
501	0.039079	322.400000	0.853578	0.022685	74.6
502	0.037715	323.400000	0.851100	0.011269	74.3
503	0.040828	324.400000	0.848636	0.009208	75.3
504	0.037704	325.400000	0.846186	0.010821	73.4
505	0.038720	326.400000	0.843750	0.013850	72.2
506	0.040737	327.400000	0.841328	0.011681	72.6
507	0.035257	328.400000	0.838920	0.013717	73.2
508	0.039044	329.400000	0.836526	0.010840	72.3
509	0.036017	330.400000	0.834146	0.008687	73.9
510	0.036475	329.600000	0.836049	0.026789	73.6
